137.91,-0.27
277.33,16.66
174.59,0.14
189.61,0.66
207.47,1.58
155.23,-0.01
131.84,-0.46
16.6,-10.73
184.61,0.63
129.08,-0.81
247.02,8.49
108.01,-1.44
88.83,-2.99
190.86,0.64
152.37,-0.03
142.89,-0.12
170.4,0.25
248.53,9.07
105.34,-1.7
78.81,-3.07
21.21,-9.6
141.48,-0.02
174.7,0.11
163.69,0.21
270.46,15.24
112.09,-1.27
147.28,-0.16
86.37,-3.86
207.28,2.12
208.11,0.92
14.3,-10.75
31.3,-8.91
34.12,-7.68
92.91,-3.02
34.32,-7.8
74.96,-5.04
98.34,-3.45
142.69,-0.07
178.68,0.46
175.45,0.16
83.24,-2.89
251.03,9.34
84.49,-3.93
156.68,0.0
206.98,1.15
106.17,-1.4
161.59,0.67
148.45,0.56
162.63,0.79
186.55,0.96
127.04,-0.18
153.72,0.64
177.24,0.44
133.32,-0.35
156.63,0.61
155.27,0.6
142.54,0.58
129.58,-0.37
145.77,0.62
137.87,0.32
286.24,19.16
174.78,0.51
190.2,1.18
208.61,1.81
155.35,0.2
131.77,0.14
184.87,1.02
128.56,-0.46
251.63,10.09
107.71,-1.12
87.64,-2.85
191.36,0.96
152.22,0.49
142.85,0.57
170.59,0.54
253.34,10.63
104.89,-1.32
77.3,-2.2
16.91,-10.21
141.52,0.51
174.93,0.62
163.65,0.74
278.6,17.78
111.57,-0.9
147.02,0.45
84.45,-3.52
208.98,2.52
208.86,2.44
27.0,-8.85
30.66,-7.68
91.73,-2.88
30.99,-8.08
72.2,-5.16
96.74,-3.1
142.76,0.75
178.82,0.68
175.45,0.36
82.14,-2.8
256.25,11.02
82.51,-3.59
156.56,0.53
208.13,1.95
304.0,13.79
104.37,-1.02
161.11,0.87
148.0,0.73
162.36,0.86
186.18,1.41
125.79,0.25
153.17,0.74
176.82,0.87
132.05,0.39
156.12,0.8
154.85,0.75
141.71,0.73
128.19,0.33
145.01,0.8
136.87,0.52
295.09,24.26
174.4,0.89
189.66,1.68
208.69,3.11
154.66,0.47
130.86,0.36
184.64,1.5
127.19,0.26
255.77,12.65
106.12,-0.9
84.86,-2.3
190.91,1.62
151.64,0.85
142.02,0.97
170.13,0.92
257.86,12.7
103.19,-0.89
75.07,-2.47
141.29,0.16
174.48,0.98
163.18,1.09
286.69,21.81
110.09,-0.81
146.4,0.79
81.49,-3.14
209.16,4.19
208.87,3.81
20.93,-9.27
